Name,URL
8th Light,pass:[http://8thlight.com/]
aclaimant,pass:[http://www.aclaimant.com/]
Adaptly,pass:[http://www.adaptly.com/]
AdGoji,pass:[http://www.adgoji.com/]
Adobe,pass:[https://www.adobe.com]
AdStage,pass:[https://www.adstage.io/]
Advance Auto Parts,pass:[http://www.advanceautoparts.com/]
Adzerk,pass:[http://adzerk.com/]
AgentsMutual/OnTheMarket,pass:[https://www.onthemarket.com]
Airloyal,pass:[http://www.airloyal.com]
Ajira,pass:[https://www.ajira.tech/]
Akvo Foundation,pass:[https://akvo.org]
akvo.org,pass:[http://akvo.org/]
Altometrics,pass:[http://altometrics.com/]
Amazon,pass:[http://www.amazon.com]
Amperity,pass:[https://amperity.com/]
Animalia,pass:[https://www.animalia.no/]
Annadale Technologies,pass:[http://annadaletech.com/]
Answers.com,pass:[http://www.answers.com]
Anywhere.com,pass:[http://www.anywhere.com/]
Apex Data Solutions,pass:[https://www.apexdatasolutions.net/]
Apple,pass:[https://apple.com]
AppsFlyer,pass:[http://www.appsflyer.com/]
AppSmiths,pass:[http://www.appsmiths.com/where.php]
Appsnsites,pass:[http://www.appsnsites.com/]
Ardoq,pass:[http://ardoq.com/]
Atomist,pass:[https://atomist.com]
Attendify,pass:[https://attendify.com/]
Australia Post,pass:[http://auspost.com.au/]
Autheos,pass:[http://www.autheos.com/]
Aviso,pass:[http://www.aviso.io/]
Axel Katerbau,pass:[mailto:axel@katerbau.de]
BandSquare,pass:[https://www.bandsquare.com/]
Banzai,pass:[https://teachbanzai.com/]
baresquare,pass:[http://www.baresquare.com/]
Beanstalk,pass:[http://beanstalkapp.com/]
Beary Innovative,pass:[http://BearyInnovative.com]
BeOpinion,pass:[https://www.beopinion.com/]
bevuta,pass:[http://bevuta.com/]
BillFront,pass:[https://billfront.com/]
BIMwelt Systems,pass:[https://www.bimsystems.de/]
Bloom,pass:[https://bloomventures.io]
BookWell,pass:[https://www.bookwell.com.au/]
Boundless Geo,pass:[https://boundlessgeo.com/]
Brainsfeed,pass:[https://brainsfeed.com]
Braintree Payments (acquired by PayPal),pass:[https://www.braintreepayments.com/]
Breeze EHR,pass:[http://www.breezeehr.com/]
BrickAlloy,pass:[http://brickalloy.com/]
Brightin,pass:[https://www.brightin.nl/]
BroadPeak,pass:[http://broadpeakpartners.com]
Buddy,pass:[https://buddy.works/]
BUGS Bioscience,pass:[http://bugsbio.org/]
Buy Happy,pass:[http://buyhappy.co/]
buzzlers.com,pass:[https://buzzlers.com]
Cambium Consulting,pass:[http://cambium.consulting/]
Capital One,pass:[https://www.capitalone.com/]
cardforcoin,pass:[https://cardforcoin.com/] and pass:[https://foldapp.com/]
Carousel Apps,pass:[https://carouselapps.com/]
Cars.co.za,pass:[https://www.cars.co.za/]
CA Technologies,pass:[http://www.ca.com/]
Cellusys,pass:[http://www.cellusys.com]
Centriq,pass:[https://mycentriq.com/]
CENX,pass:[http://www.cenx.com/]
Cerner,pass:[http://www.cerner.com/]
Cervest Ltd.,pass:[https://cervest.earth]
CFPB (Credit Financial Protection Bureau),pass:[http://www.consumerfinance.gov/]
Chariot Solutions,pass:[http://chariotsolutions.com/]
Chartbeat,pass:[http://chartbeat.com]
Cicayda,pass:[http://www.cicayda.com/]
CircleCI,pass:[https://circleci.com/]
Cisco,pass:[https://www.cisco.com]
Citi,pass:[http://www.citi.com]
ClanHR,pass:[http://clanhr.com/en]
ClearCoin,pass:[https://clearcoin.co]
Climate Corp (acquired by Monsanto),pass:[http://www.climate.com/]
Clockworks,pass:[http://www.clockworks.io/]
CloudGears,pass:[http://cloudgears.com/]
CloudRepo,pass:[http://www.cloudrepo.io/]
Clubhouse,pass:[http://www.clubhousehq.com/]
Code54,pass:[http://code54.com]
codecentric,pass:[http://codecentric.de]
Co(de)factory,pass:[http://devartcodefactory.com/]
Codurance,pass:[http://www.codurance.com/]
Cognician,pass:[https://www.cognician.com/]
Cognitect,pass:[http://cognitect.com]
CollBox,pass:[https://collbox.co/]
Collective Digital Studio,pass:[http://collectivedigitalstudio.com]
Commonwealth Robotics,pass:[http://commonwealthrobotics.com/]
Condense,pass:[www.condense.com.au]
Consumer Reports,pass:[http://www.consumerreports.org/cro/index.htm]
CREATE.21st century,pass:[http://www.create.at/]
Crossref,pass:[https://www.crossref.org/]
Cryptowerk,pass:[https://cryptowerk.com]
Curbside,pass:[https://curbside.com]
Cybozu Startups,pass:[http://www.cstap.com/]
Cycloid,pass:[http://www.cycloid.io]
Daily Mail MailOnline,pass:[http://www.dailymail.co.uk/]
Database Labs,pass:[https://www.databaselabs.io/]
Datacraft,pass:[http://www.datacraft.sg/]
DataSnap.io,pass:[http://www.datasnap.io/]
Datomic,pass:[http://www.datomic.com/]
Debreuck Neirynck (DN),pass:[https://www.d-n.be/]
Deep Impact,pass:[https://www.deep]-impact.ch/
Degree9,pass:[http://degree9.io/]
Democracy Works,pass:[http://democracy.works/]
Deps,pass:[https://www.deps.co]
Designedly,pass:[http://www.designed.ly/]
Deutsche Bank,pass:[https://www.db.com]
Devatics,pass:[https://www.devatics.com/]
Dewise,pass:[http://dewise.com]
Diagnosia,pass:[https://www.diagnosia.com/]
Discendum ltd,pass:[https://www.discendum.com]
Dividend Finance,pass:[https://www.dividendfinance.com]
DocSolver,pass:[https://www.docsolver.com]
Doctronic,pass:[https://www.doctronic.de]
DOV-E,pass:[http://dov]-e.com
dploy.io,pass:[http://dploy.io/]
Dream to Learn,pass:[https://dreamtolearn.com]
DRW Trading Group,pass:[http://drwtrading.com]
Dyne.org,pass:[https://www.dyne.org]
eBay,pass:[http://www.ebay.com/]
Element 84,pass:[http://element84.com]
Empear,pass:[http://www.empear.com/]
English Language iTutoring,pass:[https://writeandimprove.com/]
Enterlab,pass:[http://enterlab.dk]
Entrepreneur First,pass:[https://www.joinef.com]
Event Fabric,pass:[http://eventfabric.com/]
Eventum,pass:[https://eventum.no]
Evolta,pass:[https://evolta.fi/]
Exoscale,pass:[https://exoscale.ch/]
Eyeota,pass:[https://www.eyeota.com/]
Facebook,pass:[http://facebook.com]
Facjure,pass:[http://www.facjure.com/]
Factual,pass:[http://www.factual.com/]
FarBetter,pass:[http://www.farbetter.com/]
FarmLogs,pass:[https://farmlogs.com/]
Fierce.,pass:[https://fierce.ventures]
Finalist,pass:[http://www.finalist.nl/]
Finity AI,pass:[https://paper.li/]
Flexiana,pass:[http://www.flexiana.com/]
Flocktory,pass:[http://flocktory.com]
Flowa,pass:[http://www.flowa.fi/]
FORMCEPT,pass:[http://www.formcept.com/]
Framed Data,pass:[http://try.framed.io/]
FullContact,pass:[https://www.fullcontact.com/]
Functional Works,pass:[http://functionalworks.com/]
Funding Circle,pass:[http://fundingcircle.com]
Futurice,pass:[http://futurice.com/]
GetContented,pass:[http://www.getcontented.com.au/]
GetSet,pass:[http://about.getset.com/]
GoCatch,pass:[http://www.gocatch.com/]
Gofore,pass:[https://gofore.com/en/home/]
GO-JEK,pass:[https://www.go]-jek.com
GoldFynch,pass:[https://goldfynch.com/]
Goodhertz,pass:[https://goodhertz.co/]
GoOpti,pass:[http://www.goopti.com/]
Gracenote,pass:[http://www.gracenote.com/]
Grammarly,pass:[https://www.grammarly.com/]
GreenPowerMonitor,pass:[http://www.greenpowermonitor.com/]
Groupon,pass:[http://www.groupon.com]
Guaranteed Rate,pass:[https://guaranteedrate.com]
handcheque,pass:[https://handcheque.com/]
